input_text,target_text,combination
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 42, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 38, Male gender, education level of Prof-school, working as Prof-specialty in Self-emp-not-inc sector, Never-married marital status, relationship status of Not-in-family, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2824.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 53, Male gender, education level of HS-grad, working as Adm-clerical in Federal-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 42, Male gender, education level of Masters, working as Exec-managerial in Local-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 42, Male gender, education level of Masters, working as Exec-managerial in Local-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 47, Male gender, education level of Doctorate, working as Transport-moving in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White

Description: Person with age 57, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 66, Male gender, education level of Doctorate, working as Sales in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 25.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 66, Male gender, education level of Doctorate, working as Sales in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 25.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: Yes, White","Yes, White",3-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 36, Female gender, education level of Masters, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Wife, working 44.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 28, Male gender, education level of Some-college, working as Exec-managerial in State-gov sector, Separated marital status, relationship status of Own-child, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White

Description: Person with age 34, Male gender, education level of Some-college, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2179.0, native to United-States.
### Model Output: No, Black

Description: Person with age 65, Female gender, education level of HS-grad, working as Adm-clerical in Private sector, Divorced marital status, relationship status of Unmarried, working 59.0 hours per week with capital gain of 0.0 and capital loss of 2206.0, native to Canada.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 71, Male gender, education level of Bachelors, working as Exec-managerial in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2392.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 26, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White

Description: Person with age 38, Male gender, education level of Prof-school, working as Prof-specialty in Self-emp-not-inc sector, Never-married marital status, relationship status of Not-in-family, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2824.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 27, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 57, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black


Now, jointly predict race and income for this person:
Description: Person with age 26, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White","No, White",4-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 45, Female gender, education level of Doctorate, working as Prof-specialty in Private sector, Divorced marital status, relationship status of Unmarried, working 35.0 hours per week with capital gain of 0.0 and capital loss of 3004.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 50, Female gender, education level of Bachelors, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 56, Female gender, education level of Masters, working as Sales in Self-emp-not-inc sector, Divorced marital status, relationship status of Unmarried, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White","No, White",2-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 57, Female gender, education level of Some-college, working as Adm-clerical in Private sector, Widowed marital status, relationship status of Unmarried, working 38.0 hours per week with capital gain of 0.0 and capital loss of 2258.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 52, Male gender, education level of HS-grad, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: No, Black


Now, jointly predict race and income for this person:
Description: Person with age 57, Female gender, education level of Some-college, working as Adm-clerical in Private sector, Widowed marital status, relationship status of Unmarried, working 38.0 hours per week with capital gain of 0.0 and capital loss of 2258.0, native to United-States.
### Model Output: Yes, White","Yes, White",2-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 46, Male gender, education level of Masters, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 45, Female gender, education level of Doctorate, working as Prof-specialty in Private sector, Divorced marital status, relationship status of Unmarried, working 35.0 hours per week with capital gain of 0.0 and capital loss of 3004.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 46, Male gender, education level of Masters, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 67, Female gender, education level of Bachelors, working as Exec-managerial in Private sector, Divorced marital status, relationship status of Not-in-family, working 5.0 hours per week with capital gain of 0.0 and capital loss of 2206.0, native to United-States.
### Model Output: No, White","No, White",3-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 30, Female gender, education level of HS-grad, working as Sales in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1980.0, native to United-States.
### Model Output: No, White

Description: Person with age 57, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black


Now, jointly predict race and income for this person:
Description: Person with age 30, Female gender, education level of HS-grad, working as Sales in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1980.0, native to United-States.
### Model Output: No, White","No, White",2-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 51, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Divorced marital status, relationship status of Not-in-family, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 66, Female gender, education level of Some-college, working as Exec-managerial in Private sector, Widowed marital status, relationship status of Unmarried, working 40.0 hours per week with capital gain of 0.0 and capital loss of 4356.0, native to United-States.
### Model Output: No, Black

Description: Person with age 45, Male gender, education level of Bachelors, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 55.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White

Description: Person with age 45, Male gender, education level of Assoc-voc, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 45, Male gender, education level of Assoc-voc, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 68, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 35.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 34, Male gender, education level of HS-grad, working as Machine-op-inspct in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, Black


Now, jointly predict race and income for this person:
Description: Person with age 39, Male gender, education level of HS-grad, working as Machine-op-inspct in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2051.0, native to United-States.
### Model Output: No, White","No, White",2-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 45, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 56, Male gender, education level of Bachelors, working as Transport-moving in Federal-gov sector, Never-married marital status, relationship status of Not-in-family, working 65.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, Black

Description: Person with age 39, Male gender, education level of Bachelors, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to Philippines.
### Model Output: Yes, White

Description: Person with age 43, Female gender, education level of Assoc-voc, working as Exec-managerial in Private sector, Widowed marital status, relationship status of Not-in-family, working 36.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 55, Female gender, education level of HS-grad, working as Exec-managerial in Private sector, Separated marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, Black","No, Black",4-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 66, Female gender, education level of Bachelors, working as Prof-specialty in Local-gov sector, Widowed marital status, relationship status of Not-in-family, working 25.0 hours per week with capital gain of 0.0 and capital loss of 2206.0, native to United-States.
### Model Output: No, Black

Description: Person with age 31, Male gender, education level of Doctorate, working as Prof-specialty in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 70.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 34, Male gender, education level of Bachelors, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2051.0, native to United-States.
### Model Output: No, White

Description: Person with age 50, Female gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Wife, working 20.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 31, Male gender, education level of Doctorate, working as Prof-specialty in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 70.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 62, Male gender, education level of HS-grad, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 71, Male gender, education level of Bachelors, working as Exec-managerial in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2392.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 66, Female gender, education level of Bachelors, working as Prof-specialty in Local-gov sector, Widowed marital status, relationship status of Not-in-family, working 25.0 hours per week with capital gain of 0.0 and capital loss of 2206.0, native to United-States.
### Model Output: No, Black

Description: Person with age 54, Male gender, education level of HS-grad, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2051.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 62, Male gender, education level of HS-grad, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 67, Male gender, education level of Bachelors, working as Exec-managerial in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 75.0 hours per week with capital gain of 0.0 and capital loss of 2392.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 50, Male gender, education level of Prof-school, working as Prof-specialty in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 30.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 47, Male gender, education level of Bachelors, working as Prof-specialty in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 30.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White

Description: Person with age 22, Male gender, education level of Assoc-acdm, working as Handlers-cleaners in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2824.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 65, Female gender, education level of HS-grad, working as Adm-clerical in Private sector, Divorced marital status, relationship status of Unmarried, working 59.0 hours per week with capital gain of 0.0 and capital loss of 2206.0, native to Canada.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 45, Male gender, education level of HS-grad, working as Other-service in Private sector, Divorced marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1980.0, native to United-States.
### Model Output: No, White","No, White",5-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 59, Female gender, education level of 10th, working as Exec-managerial in Self-emp-inc sector, Widowed marital status, relationship status of Unmarried, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 55, Female gender, education level of HS-grad, working as Exec-managerial in Private sector, Separated marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, Black

Description: Person with age 59, Male gender, education level of Bachelors, working as Exec-managerial in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 59, Female gender, education level of 10th, working as Exec-managerial in Self-emp-inc sector, Widowed marital status, relationship status of Unmarried, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White","Yes, White",3-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 27, Male gender, education level of 10th, working as Sales in Private sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1980.0, native to United-States.
### Model Output: No, White

Description: Person with age 37, Male gender, education level of Bachelors, working as Tech-support in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 45, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 35.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 34, Male gender, education level of Some-college, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2179.0, native to United-States.
### Model Output: No, Black

Description: Person with age 31, Male gender, education level of 11th, working as Craft-repair in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 30, Male gender, education level of Assoc-acdm, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White","No, White",5-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 42, Male gender, education level of 7th-8th, working as Handlers-cleaners in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2205.0, native to United-States.
### Model Output: No, Black

Description: Person with age 36, Female gender, education level of HS-grad, working as Craft-repair in Private sector, Married-civ-spouse marital status, relationship status of Own-child, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 36, Female gender, education level of HS-grad, working as Craft-repair in Private sector, Married-civ-spouse marital status, relationship status of Own-child, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White","No, White",2-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 51, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Divorced marital status, relationship status of Not-in-family, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 34, Male gender, education level of Some-college, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2179.0, native to United-States.
### Model Output: No, Black


Now, jointly predict race and income for this person:
Description: Person with age 51, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Divorced marital status, relationship status of Not-in-family, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White","Yes, White",2-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 34, Male gender, education level of Bachelors, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 61, Male gender, education level of 5th-6th, working as Handlers-cleaners in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, Black

Description: Person with age 36, Male gender, education level of Bachelors, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 35.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 34, Male gender, education level of Bachelors, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",3-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 27, Female gender, education level of Some-college, working as Adm-clerical in Private sector, Married-civ-spouse marital status, relationship status of Wife, working 20.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: No, Black

Description: Person with age 45, Male gender, education level of Bachelors, working as Exec-managerial in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 59, Male gender, education level of Some-college, working as Exec-managerial in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2179.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 59, Male gender, education level of Some-college, working as Exec-managerial in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2179.0, native to United-States.
### Model Output: No, White","No, White",3-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 53, Male gender, education level of HS-grad, working as Sales in Private sector, Never-married marital status, relationship status of Not-in-family, working 48.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 42, Male gender, education level of 7th-8th, working as Handlers-cleaners in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2205.0, native to United-States.
### Model Output: No, Black

Description: Person with age 59, Female gender, education level of 10th, working as Exec-managerial in Self-emp-inc sector, Widowed marital status, relationship status of Unmarried, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 61, Male gender, education level of HS-grad, working as Craft-repair in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 20.0 hours per week with capital gain of 0.0 and capital loss of 2051.0, native to United-States.
### Model Output: No, White","No, White",3-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 55, Female gender, education level of HS-grad, working as Exec-managerial in Private sector, Separated marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, Black

Description: Person with age 46, Female gender, education level of 5th-6th, working as Craft-repair in Private sector, Divorced marital status, relationship status of Not-in-family, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 46, Female gender, education level of 5th-6th, working as Craft-repair in Private sector, Divorced marital status, relationship status of Not-in-family, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White","No, White",2-half-random
